Name,RecipeTag,DisplayName,Description,IngredientTags,IngredientQuantities,OutputItemTag,OutputQuantity,CraftTimeSeconds,RequiredStation,RequiredTechnologyTag
Recipe_041_InsulatedCoat,Recipe.InsulatedCoat,Insulated Coat,Protection against cold biome stress.,"(Item.Resource.Leather,Item.Resource.Fiber,Item.Resource.IceOrgan)","(10,8,2)",Item.Equipment.InsulatedCoat,1,6.0,CraftingBench,Tech.ClothGear
Recipe_042_HeatMantle,Recipe.HeatMantle,Heat Mantle,Protection against caldera heat stress.,"(Item.Resource.Leather,Item.Resource.Fiber,Item.Resource.Sulfur)","(10,8,3)",Item.Equipment.HeatMantle,1,6.0,CraftingBench,Tech.ClothGear
Recipe_043_StoneStorage,Recipe.StoneStorage,Stone Storage,Large early-game storage container.,"(Item.Resource.Stone,Item.Resource.Sunwood)","(16,8)",Item.Building.StorageChest,1,4.0,None,Tech.BasicShelter
Recipe_044_RainCollector,Recipe.RainCollector,Rain Collector,Gathers water during wet weather.,"(Item.Resource.Sunwood,Item.Resource.Fiber,Item.Resource.Crystal)","(10,8,2)",Item.Building.RainCollector,1,5.0,None,Tech.WaterPurification
Recipe_045_CropFertilizer,Recipe.CropFertilizer,Crop Fertilizer,Improves farm plot yield.,"(Item.Resource.Herb,Item.Resource.RawMeat)","(4,2)",Item.Consumable.CropFertilizer,3,3.0,None,Tech.FarmPlot
Recipe_046_IncubationGel,Recipe.IncubationGel,Incubation Gel,Maintains egg stability in dry climates.,"(Item.Resource.TorrentCore,Item.Resource.Herb)","(2,4)",Item.Consumable.IncubationGel,2,3.5,CraftingBench,Tech.BreedingPen
Recipe_047_GeneScanner,Recipe.GeneScanner,Gene Scanner,Reveals hidden breeding traits.,"(Item.Component.CopperWire,Item.Resource.AstraShard,Item.Resource.PureQuartz)","(8,4,3)",Item.Tool.GeneScanner,1,7.0,CraftingBench,Tech.BreedingPen
Recipe_048_MountLantern,Recipe.MountLantern,Mount Lantern,Illuminates routes during night travel.,"(Item.Resource.Crystal,Item.Component.CopperWire,Item.Resource.Sunwood)","(3,2,2)",Item.Equipment.MountLantern,1,4.0,CraftingBench,Tech.SaddleCraft
Recipe_049_SaddleArmor,Recipe.SaddleArmor,Saddle Armor,Improves mount survivability.,"(Item.Equipment.SaddleKit,Item.Component.AstraSteelPlate,Item.Resource.Leather)","(1,2,6)",Item.Equipment.SaddleArmor,1,8.0,HeatForge,Tech.AstraSteel
Recipe_050_ChargedBolt,Recipe.ChargedBolt,Charged Bolt,Volt ammunition for advanced weapons.,"(Item.Ammo.PracticeArrow,Item.Resource.VoltCore,Item.Component.CopperWire)","(4,1,1)",Item.Ammo.ChargedBolt,4,4.0,CraftingBench,Tech.ElementalAmmo
Recipe_051_GlacialShard,Recipe.GlacialShard,Glacial Shard,Cold ammunition for advanced weapons.,"(Item.Ammo.PracticeArrow,Item.Resource.GlacialCore)","(4,1)",Item.Ammo.GlacialShard,4,4.0,CraftingBench,Tech.ElementalAmmo
Recipe_052_AbyssalDart,Recipe.AbyssalDart,Abyssal Dart,Void ammunition for advanced weapons.,"(Item.Ammo.PracticeArrow,Item.Resource.AbyssalCore)","(4,1)",Item.Ammo.AbyssalDart,4,4.0,CraftingBench,Tech.ElementalAmmo
Recipe_053_AstraBeamCell,Recipe.AstraBeamCell,Astra Beam Cell,Dawn energy cell for beam weapons.,"(Item.Resource.AstraShard,Item.Resource.PureQuartz,Item.Component.CopperWire)","(6,2,3)",Item.Ammo.AstraBeamCell,2,5.0,HeatForge,Tech.FirstDawnResearch
Recipe_054_RecurveBow,Recipe.RecurveBow,Recurve Bow,Improved ranged weapon with stronger draw.,"(Item.Weapon.Reedbow,Item.Component.AstraSteelPlate,Item.Resource.Fiber)","(1,2,6)",Item.Weapon.RecurveBow,1,7.0,CraftingBench,Tech.AstraSteel
Recipe_055_CrystalRepeater,Recipe.CrystalRepeater,Crystal Repeater,Fast multi-shot weapon for elemental bolts.,"(Item.Resource.Crystal,Item.Component.AstraSteelPlate,Item.Component.CopperWire)","(8,4,8)",Item.Weapon.CrystalRepeater,1,10.0,HeatForge,Tech.Forge
Recipe_056_StormCell,Recipe.StormCell,Storm Cell,Stores Volt energy for powered stations.,"(Item.Resource.VoltCore,Item.Component.CopperWire,Item.Resource.Crystal)","(3,6,2)",Item.Component.StormCell,1,6.0,CraftingBench,Tech.Automation
Recipe_057_ColdCore,Recipe.ColdCore,Cold Core,Stores Glacial energy for hazard systems.,"(Item.Resource.GlacialCore,Item.Resource.PureQuartz)","(3,2)",Item.Component.ColdCore,1,6.0,CraftingBench,Tech.ClothGear
Recipe_058_VoidWard,Recipe.VoidWard,Void Ward,Protective charm against corruption effects.,"(Item.Resource.AbyssalCore,Item.Resource.Herb,Item.Component.AstraSteelPlate)","(2,4,1)",Item.Equipment.VoidWard,1,8.0,HeatForge,Tech.AstraSteel
Recipe_059_RepairKit,Recipe.RepairKit,Repair Kit,Repairs damaged structures and stations.,"(Item.Component.AstraSteelPlate,Item.Resource.Sunwood,Item.Component.CopperWire)","(2,6,2)",Item.Consumable.RepairKit,2,5.0,CraftingBench,Tech.AstraSteel
Recipe_060_ColonyBeacon,Recipe.ColonyBeacon,Colony Beacon,Marks a protected worker assignment zone.,"(Item.Component.AstraSteelPlate,Item.Resource.AstraShard,Item.Component.CopperWire)","(2,4,4)",Item.Building.ColonyBeacon,1,8.0,CraftingBench,Tech.Automation
Recipe_061_SpireBeacon,Recipe.SpireBeacon,Spire Beacon,Improves discovery feedback around a spire.,"(Item.Resource.AstraShard,Item.Resource.PureQuartz,Item.Component.CopperWire)","(6,4,4)",Item.Building.SpireBeacon,1,8.0,CraftingBench,Tech.SpireAttunement
Recipe_062_DungeonTorch,Recipe.DungeonTorch,Dungeon Torch,Reveals hidden paths in tower interiors.,"(Item.Resource.Sunwood,Item.Resource.Sulfur,Item.Resource.Crystal)","(4,2,1)",Item.Consumable.DungeonTorch,4,3.0,Campfire,Tech.TowerKeys
Recipe_063_AlphaSeal,Recipe.AlphaSeal,Alpha Seal,Temporary seal for a high-tier boss arena.,"(Item.Resource.PureQuartz,Item.Resource.AbyssalCore,Item.Resource.SolarCore)","(4,2,2)",Item.Quest.AlphaSeal,1,12.0,HeatForge,Tech.TowerKeys
Recipe_064_DawnCrown,Recipe.DawnCrown,Dawn Crown,Endgame relic for First Dawn research.,"(Item.Quest.DawnArchive,Item.Resource.PureQuartz,Item.Resource.AstraShard)","(1,12,20)",Item.Quest.DawnCrown,1,20.0,HeatForge,Tech.FirstDawnResearch
