Name,RecipeTag,DisplayName,Description,IngredientTags,IngredientQuantities,OutputItemTag,OutputQuantity,HungerRestored,ThirstRestored,NutritionValue,SpoilageDurationSeconds,RefrigeratedSpoilageRate,BuffTag,BuffMagnitude,BuffDurationSeconds,RequiredStation
Cooking_11_DawnFruitTart,Recipe.Cooking.DawnFruitTart,Dawn Fruit Tart,A sweet tart baked with dawn fruit.,"(Item.Berry,Item.Grain,Item.Honey)","(3,2,1)",Item.Food.DawnFruitTart,1,38,10,44,2400,0.1,Buff.CaptureOdds,0.1,900,HeatForge
Cooking_12_MireMushroomRice,Recipe.Cooking.MireMushroomRice,Mire Mushroom Rice,Rice and mushrooms with a slow-release meal buff.,"(Item.Grain,Item.Mushroom,Item.Water)","(3,2,1)",Item.Food.MireMushroomRice,1,42,14,50,1800,0.1,Buff.HungerDrain,-0.2,1200,Campfire
Cooking_13_CrystalTea,Recipe.Cooking.CrystalTea,Crystal Tea,A clear tea steeped beside an Astra crystal.,"(Item.Herb,Item.AstraOrgan,Item.Water)","(2,1,1)",Item.Food.CrystalTea,2,12,28,24,2400,0.1,Buff.SANRecovery,35,900,Campfire
Cooking_14_FrostrootCasserole,Recipe.Cooking.FrostrootCasserole,Frostroot Casserole,Root vegetables baked with frost spice.,"(Item.Root,Item.FrostFruit,Item.Grain)","(2,1,2)",Item.Food.FrostrootCasserole,1,46,9,47,1800,0.1,Buff.HeatResistance,0.12,900,HeatForge
Cooking_15_SunwoodSmokedMeat,Recipe.Cooking.SunwoodSmokedMeat,Sunwood Smoked Meat,Meat smoked over aromatic Sunwood.,"(Item.Meat,Item.SunwoodResin)","(3,2)",Item.Food.SunwoodSmokedMeat,1,58,0,52,3600,0.1,Buff.MaxHealth,0.1,1200,Campfire
Cooking_16_TidehornChowder,Recipe.Cooking.TidehornChowder,Tidehorn Chowder,A coastal chowder that restores thirst quickly.,"(Item.Fish,Item.TidehornOrgan,Item.Water)","(2,1,2)",Item.Food.TidehornChowder,1,34,34,48,1200,0.1,Buff.SwimSpeed,0.25,900,HeatForge
Cooking_17_Mosswrap,Recipe.Cooking.Mosswrap,Mosswrap,A portable wrap with balanced nutrition.,"(Item.Leaf,Item.Meat,Item.Moss)","(2,1,2)",Item.Food.Mosswrap,2,30,8,34,900,0.1,Buff.HarvestYield,0.1,900,Campfire
Cooking_18_ThunderNoodle,Recipe.Cooking.ThunderNoodle,Thunder Noodle,A spicy noodle dish that crackles on the tongue.,"(Item.Grain,Item.VoltOrgan,Item.Vegetable)","(2,1,2)",Item.Food.ThunderNoodle,1,40,12,45,1200,0.1,Buff.MoveSpeed,0.12,900,HeatForge
Cooking_19_RainwaterJelly,Recipe.Cooking.RainwaterJelly,Rainwater Jelly,A cool jelly made from clean rainwater.,"(Item.Water,Item.Berry,Item.Gel)","(2,2,1)",Item.Food.RainwaterJelly,2,20,30,30,1800,0.1,Buff.ThirstDrain,-0.25,900,Campfire
Cooking_20_GeoRootHash,Recipe.Cooking.GeoRootHash,Geo-root Hash,Crisped root vegetables with mineral salt.,"(Item.Root,Item.GeoOrgan,Item.Oil)","(3,1,1)",Item.Food.GeoRootHash,1,50,4,48,1800,0.1,Buff.KnockbackResistance,0.2,900,HeatForge
Cooking_21_NightbloomPudding,Recipe.Cooking.NightbloomPudding,Nightbloom Pudding,A moonlit pudding that quiets the mind.,"(Item.Nightbloom,Item.Milk,Item.Grain)","(2,1,2)",Item.Food.NightbloomPudding,1,34,16,42,1800,0.1,Buff.NightVision,1.0,900,Campfire
Cooking_22_AbyssalPepperCurry,Recipe.Cooking.AbyssalPepperCurry,Abyssal Pepper Curry,A potent curry for abyssal expeditions.,"(Item.Meat,Item.AbyssalOrgan,Item.Pepper)","(2,1,2)",Item.Food.AbyssalPepperCurry,1,54,2,50,900,0.1,Buff.AbyssalResistance,0.2,900,HeatForge
Cooking_23_AstraNectar,Recipe.Cooking.AstraNectar,Astra Nectar,A rare nectar that sharpens partner resonance.,"(Item.AstraOrgan,Item.Honey,Item.Water)","(1,2,1)",Item.Food.AstraNectar,1,18,24,32,1200,0.1,Buff.PartnerSkillCooldown,-0.2,900,HeatForge
Cooking_24_CinderBread,Recipe.Cooking.CinderBread,Cinder Bread,A loaf baked on a volcanic stone.,"(Item.Grain,Item.SolarOrgan,Item.Oil)","(3,1,1)",Item.Food.CinderBread,2,36,3,38,1800,0.1,Buff.HeatResistance,0.1,900,HeatForge
Cooking_25_GlacierMilkshake,Recipe.Cooking.GlacierMilkshake,Glacier Milkshake,A chilled shake that braces against heat.,"(Item.Milk,Item.FrostFruit,Item.Ice)","(2,2,1)",Item.Food.GlacierMilkshake,1,30,26,40,1200,0.1,Buff.HeatResistance,0.18,900,Campfire
Cooking_26_LumenBisque,Recipe.Cooking.LumenBisque,Lumen Bisque,A luminous soup served in sanctuary kitchens.,"(Item.LumenShard,Item.Mushroom,Item.Water)","(1,2,2)",Item.Food.LumenBisque,1,38,20,46,1800,0.1,Buff.CaptureOdds,0.08,900,HeatForge
Cooking_27_DewberryCompote,Recipe.Cooking.DewberryCompote,Dewberry Compote,Sweet fruit reduced with fresh dew.,"(Item.Berry,Item.Water)","(4,2)",Item.Food.DewberryCompote,2,28,24,35,900,0.1,Buff.FarmingYield,0.15,900,Campfire
Cooking_28_VolcanicRibs,Recipe.Cooking.VolcanicRibs,Volcanic Ribs,Slow-cooked ribs glazed with ember resin.,"(Item.Meat,Item.SolarOrgan,Item.Resin)","(3,1,1)",Item.Food.VolcanicRibs,1,64,0,58,1200,0.1,Buff.AttackPower,0.18,900,HeatForge
Cooking_29_GlacialHerbCongee,Recipe.Cooking.GlacialHerbCongee,Glacial Herb Congee,Gentle congee for recovery after a cold night.,"(Item.Grain,Item.Herb,Item.GlacialOrgan)","(3,2,1)",Item.Food.GlacialHerbCongee,1,44,14,46,1800,0.1,Buff.HealthRecovery,0.2,900,Campfire
Cooking_30_FirstDawnFeast,Recipe.Cooking.FirstDawnFeast,First Dawn Feast,A ceremonial feast reserved for the final sanctuary.,"(Item.Meat,Item.AstraOrgan,Item.AncientAstraSchematic)","(4,2,1)",Item.Food.FirstDawnFeast,1,100,35,100,3600,0.1,Buff.AllCoreStats,0.15,1200,HeatForge
