Name,SpeciesTag,SpeciesName,SpeciesTitle,LoreDescription,PrimaryElement,ElementalAffinities,Role,BaseMaxHealth,BaseAttackPower,BaseDefensePower,BaseWalkSpeed,BaseRunSpeed,CaptureDifficultyModifier,PassiveTraitTags,WorkSuitabilityTags,PartnerSkillTag,MountProfileId,bCanBeMounted,BreedingGroupId,EvolutionTargetId,EvolutionLevel,DexOrder
Echo_Ignisaur,Echo.Ignisaur,Ignisaur,Redline Hunter,A scarlet ridge Echo that hunts by reading heat trails in ash.,Solar,"(Solar,Abyssal)",Combat,270,44,25,280,620,1.35,"(Trait.Fierce,Trait.Hunter)","(Work.Kindling)",Partner.Redline,Mount.IgnisaurStrider,true,Beast,Species.SolarixAlpha,42,11
Echo_SolarixAlpha,Echo.SolarixAlpha,Solarix Alpha,Caldera Warden,An ancient Alpha Echo that guards a buried dawn engine beneath the caldera.,Solar,"(Solar,Astra)",Combat,900,90,65,210,500,2.2,"(Trait.Alpha,Trait.HeatResistant,Trait.Commander)","(Work.Kindling)",Partner.DawnflareCrown,Mount.None,false,Alpha,,0,12
Echo_Frostfox,Echo.Frostfox,Frostfox,Quiet Snowstep,A pale Echo that leaves warm pawprints across frozen stone.,Glacial,"(Glacial,Abyssal)",Exploration,175,29,18,320,650,1.15,"(Trait.Silent,Trait.ColdResistant)","(Work.Cooling,Gathering)",Partner.WhiteoutStep,Mount.FrostfoxRunner,true,Beast,Species.Glacisaur,44,13
Echo_Glacisaur,Echo.Glacisaur,Glacisaur,Permafrost Bastion,A glacier-backed Echo that shelters smaller creatures from whiteout winds.,Glacial,"(Glacial,Geo)",Combat,330,36,45,150,340,1.45,"(Trait.Sturdy,Trait.ColdResistant)","(Work.Cooling,Work.Mining)",Partner.IceBulwark,Mount.GlacisaurCarrier,true,Beast,Species.Auroroceros,46,14
Echo_Cryovex,Echo.Cryovex,Cryovex,Prismwing Drifter,A crystal-winged Echo that refracts moonlight into navigable signals.,Glacial,"(Glacial,Volt)",Exploration,150,34,20,360,720,1.4,"(Trait.Alert,Trait.ColdResistant)","(Work.Generating,Gathering)",Partner.PrismFlight,Mount.CryovexGlider,true,Avian,Species.Skyrill,48,15
Echo_FirstDawnDragon,Echo.FirstDawnDragon,First Dawn Dragon,Memory of Sunrise,A mythic Echo formed where the first dawn touched the world after the long night.,Astra,"(Astra,Solar,Glacial)",Combat,650,78,55,230,560,1.9,"(Trait.Mythic,Trait.Commander)","(Work.Kindling,Work.Generating)",Partner.FirstLight,Mount.None,false,Mythic,,0,16
Echo_Mossprout,Echo.Mossprout,Mossprout,Softstone Gardener,A tiny stone-seed Echo that sprouts moss wherever it rests.,Geo,"(Geo)",BaseUtility,120,14,16,220,450,0.8,"(Trait.Gentle,Trait.Rooted)","(Work.Farming,Gathering)",Partner.MossMend,Mount.None,false,Flora,Species.Verdantor,22,17
Echo_Lumifly,Echo.Lumifly,Lumifly,Lantern Moth,A nocturnal Echo whose wings reveal hidden resources without harming them.,Astra,"(Astra,Volt)",Exploration,105,22,10,380,760,0.9,"(Trait.Curious,Trait.Scout)","(Work.Generating,Gathering)",Partner.LanternSense,Mount.LumiflyGlider,true,Avian,Species.Cryovex,25,18
Echo_Brambletusk,Echo.Brambletusk,Brambletusk,Thicket Breaker,A tusked Echo that clears invasive vines and leaves fertile soil behind.,Geo,"(Geo,Abyssal)",Combat,250,35,31,200,460,1.25,"(Trait.Sturdy,Trait.Harvester)","(Work.Gathering,Work.Building)",Partner.ThicketCharge,Mount.BrambletuskHauler,true,Beast,Species.Thornback,30,19
Echo_Emberwing,Echo.Emberwing,Emberwing,Coalbright Flier,A winged spark Echo that nests near warm stone and carries coals safely.,Solar,"(Solar,Volt)",Exploration,140,32,14,350,760,1.2,"(Trait.Brave,Trait.HeatResistant)","(Work.Kindling,Work.Generating)",Partner.Coalburst,Mount.EmberwingGlider,true,Avian,Species.Pyrelite,28,20
Echo_Miremaw,Echo.Miremaw,Miremaw,Sunken Jaw,A marsh Echo that filters poisonous water through layered crystal teeth.,Abyssal,"(Abyssal,Torrent)",Combat,280,42,28,190,430,1.4,"(Trait.Patient,Trait.PoisonWard)","(Work.Watering,Work.Medicine)",Partner.MireDrain,Mount.MiremawSwimmer,true,Amphibian,Species.Torrentail,38,21
Echo_Tidehorn,Echo.Tidehorn,Tidehorn,Reef Bell,A horned river Echo whose call stabilizes water pressure in old canals.,Torrent,"(Torrent,Astra)",BaseUtility,220,27,28,210,470,1.25,"(Trait.Calm,Trait.Hydrated)","(Work.Watering,Work.Cooling)",Partner.ReefChime,Mount.TidehornSkiff,true,Amphibian,Species.Aquavine,36,22
Echo_Stormshell,Echo.Stormshell,Stormshell,Thunderback,A plated Echo that stores lightning in its shell and releases it into batteries.,Volt,"(Volt,Geo)",BaseUtility,260,35,40,145,320,1.5,"(Trait.Sturdy,Trait.Overclock)","(Work.Generating,Work.Mining)",Partner.ThunderVault,Mount.StormshellCarrier,true,Amphibian,Species.Sparkfin,40,23
Echo_Nightbloom,Echo.Nightbloom,Nightbloom,Void Orchid,A rare flower Echo that blooms only where the sky has forgotten its stars.,Abyssal,"(Abyssal,Geo)",BaseUtility,190,30,22,180,390,1.35,"(Trait.Calm,Trait.PoisonWard)","(Work.Medicine,Work.Farming)",Partner.VoidPetal,Mount.None,false,Flora,,44,24
Echo_Craggle,Echo.Craggle,Craggle,Chiselback,A compact quarry Echo that finds weak seams in rock by tapping its shell.,Geo,"(Geo,Volt)",BaseUtility,240,25,37,160,350,1.15,"(Trait.Patient,Trait.Sturdy)","(Work.Mining,Work.Building)",Partner.SeamSense,Mount.CraggleCarrier,true,Beast,Species.Terradon,34,25
Echo_Flareelk,Echo.Flareelk,Flareelk,Sunstream Eel,A bright river eel that rides heated currents beneath caldera waterways.,Solar,"(Solar,Torrent)",Exploration,155,37,17,340,700,1.3,"(Trait.Alert,Trait.HeatResistant)","(Work.Kindling,Work.Watering)",Partner.FlareCurrent,Mount.FlareelkSkimmer,true,Amphibian,Species.Aquavine,40,26
Echo_Skyrill,Echo.Skyrill,Skyrill,Highwind Kite,A wind-reading Echo that maps safe routes between mountain spires.,Astra,"(Astra,Volt)",Exploration,135,30,15,400,820,1.2,"(Trait.Scout,Trait.Alert)","(Work.Generating,Gathering)",Partner.HighwindMap,Mount.SkyrillGlider,true,Avian,Species.Cryovex,46,27
Echo_Moonmote,Echo.Moonmote,Moonmote,Quiet Orbit,A floating Echo that gathers dew and carries messages through moonlit camps.,Astra,"(Astra,Glacial)",BaseUtility,115,20,12,300,620,1.0,"(Trait.Calm,Trait.Curious)","(Work.Watering,Work.Gathering)",Partner.MoonlitRelay,Mount.MoonmoteGlider,true,Avian,Species.Lumifly,32,28
Echo_Voidmantis,Echo.Voidmantis,Voidmantis,Edge of Silence,A stealth Echo that cuts through corrupted growth without leaving a scar.,Abyssal,"(Abyssal,Volt)",Combat,200,48,20,340,700,1.55,"(Trait.Silent,Trait.Ambusher)","(Work.Gathering,Work.Medicine)",Partner.VoidLunge,Mount.None,false,Insect,,48,29
Echo_Auroroceros,Echo.Auroroceros,Auroroceros,Polar Crown,A massive glacial Echo that bends aurora light around its antlers.,Glacial,"(Glacial,Astra)",Combat,420,52,48,180,400,1.7,"(Trait.Mythic,Trait.ColdResistant,Trait.Guardian)","(Work.Cooling,Work.Mining)",Partner.AuroraWard,Mount.AurorocerosCarrier,true,Mythic,Species.FirstDawnDragon,50,30
